Column1.1,Column1.2,Column1.3,Column1.4,Column1.5,Column1.6,Column1.7,Column1.8,Column1.9,Column1.10,Column1.11,Column1.12,Column1.13,Column1.14,Column1.15,Column1.16,Column1.17,Column1.18,Column1.19,Column1.20,Column1.21,Column1.22,Column1.23,Column1.24,Column1.25,Column1.26,Column1.27,Column1.28,Column1.29,Column1.30,Column1.31,Column1.32,Column1.33,Column1.34,Column1.35,Column1.36,Column1.37,Column1.38,Column1.39,Column1.40,Column1.41,Column1.42,Column1.43,Column1.44,Column1.45,Column1.46,Column1.47,Column1.48
CHEMBL364691,,None,420.49,0,3.08,11b,O=S(=O)(NCCCn1ccnc1)c1ccc2c(c1)Cc1c-2nc(O)c2ccccc12,IC50,'=',394.0,nM,6.41,,,UO_0000065,15.23,0.29,3.32,6.60,0,CHEMBL828154,Inhibitory concentration against purified poly ADP-ribose polymerase-1 done in PARP inhibition assay kit,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1141136,1,Scientific Literature,J Med Chem,2005,None,,,,"0.394,,,,,,,,,,,,,,,"
CHEMBL1949840,,None,164.14,0,1.06,1,O=c1[nH]cnc2cccc(F)c12,IC50,'=',7040.0,nM,5.15,,,UO_0000065,31.39,0.59,4.09,11.26,0,CHEMBL1953234,Inhibition of PARP1 using TACS-Sapphire substrate for 30 mins by colorimetry,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1949644,1,Scientific Literature,Eur J Med Chem,2012,None,,,,"7.04,,,,,,,,,,,,,,,"
CHEMBL1935258,,None,519.43,0,1.89,11,CN(CC(=O)O)CC(=O)c1ccc2[nH]c3c4c(c5c(c3c2c1)C(=O)NC5=O)CCC4.O=C(O)C(F)(F)F,IC50,'=',8.0,nM,8.10,,,UO_0000065,19.97,0.37,6.21,6.77,0,CHEMBL1938153,Inhibition of recombinant human PARP1 by in vitro assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1933047,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,"8.0,,,,,,,,,,,,,,,"
CHEMBL1935276,,None,372.38,0,2.31,29,O=C1CCC(c2ccc3[nH]c4c5c(c6c(c4c3c2)C(=O)NC6=O)CCC5)=NN1,IC50,'=',17.0,nM,7.77,,,UO_0000065,20.86,0.38,5.46,7.51,0,CHEMBL1938153,Inhibition of recombinant human PARP1 by in vitro assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1933047,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,,,"17.0,,,,,,,,,,,,,,,"
CHEMBL4874308,,None,452.51,0,2.87,15k,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(CC4CCCO4)CC3)c(O)cc(O)c12,IC50,'=',40.4,nM,7.39,,,UO_0000065,16.34,0.31,4.52,6.94,0,CHEMBL4843990,Inhibition of recombinant human full-length PARP-1 using biotinylated substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4842357,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR,,"40.4,,,,,,,,,,,,,,,"
CHEMBL4865987,,None,512.48,1,4.92,17f,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(c4ccc(C(F)(F)F)cc4)CC3)c(O)cc(O)c12,IC50,'=',49.8,nM,7.30,,,UO_0000065,14.25,0.27,2.38,7.50,0,CHEMBL4843990,Inhibition of recombinant human full-length PARP-1 using biotinylated substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4842357,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR,,"49.8,,,,,,,,,,,,,,,"
CHEMBL4873634,,None,446.46,0,2.69,17h,O=c1cc(-c2ccc(O)cc2)oc2c(CN3CCN(c4cncnc4)CC3)c(O)cc(O)c12,IC50,'=',29.5,nM,7.53,,,UO_0000065,16.87,0.31,4.84,6.11,0,CHEMBL4843990,Inhibition of recombinant human full-length PARP-1 using biotinylated substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4842357,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR,,"29.5,,,,,,,,,,,,,,,"
CHEMBL540525,,None,421.95,0,2.86,11a1,Cl.O=S(=O)(NCCN1CCCCC1)c1ccc2nc(O)c3ccccc3c2c1,IC50,'=',30.0,nM,7.52,,,UO_0000065,19.52,0.38,4.66,9.12,0,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134117,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,,"0.03,,,,,,,,,,,,,,,"
CHEMBL493498,,None,440.53,0,1.62,29,CCS(=O)(=O)N1CCN(C(=O)c2cccc(Cc3n[nH]c(=O)c4ccccc34)c2)CC1,IC50,'=',12.0,nM,7.92,,,UO_0000065,17.98,0.35,6.30,7.66,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.012,,,,,,,,,,,,,,,"
CHEMBL495483,,None,452.56,0,3.86,17,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(Cc2ccccc2)CC1,IC50,'=',18.0,nM,7.75,,,UO_0000065,17.11,0.31,3.88,11.18,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.018,,,,,,,,,,,,,,,"
CHEMBL505041,,None,406.49,0,1.65,15,O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCCN(CCO)CC1,IC50,'=',18.0,nM,7.75,,,UO_0000065,19.05,0.35,6.09,8.65,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.018,,,,,,,,,,,,,,,"
CHEMBL522487,,None,476.55,0,3.52,49,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CCCCC2)CC1,IC50,'=',15.0,nM,7.82,,,UO_0000065,16.42,0.31,4.30,9.06,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.015,,,,,,,,,,,,,,,"
CHEMBL503239,,None,420.49,0,2.82,44,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(CC2CC2)CC1,IC50,'=',4.0,nM,8.40,,,UO_0000065,19.97,0.37,5.58,12.12,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.004,,,,,,,,,,,,,,,"
CHEMBL521815,,None,380.42,0,2.04,40,CN1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,IC50,'=',13.0,nM,7.89,,,UO_0000065,20.73,0.38,5.85,11.38,0,CHEMBL982809,Inhibition of PARP1 by flashplate scintillation proximity assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1140140,1,Scientific Literature,J Med Chem,2008,None,,,,"0.013,,,,,,,,,,,,,,,"
CHEMBL4848834,,None,473.49,0,2.93,14j,O=C(c1cccnc1)N1CCN(Cc2c(O)cc(O)c3c(=O)cc(-c4ccc(O)cc4)oc23)CC1,IC50,'=',26.2,nM,7.58,,,UO_0000065,16.01,0.30,4.65,5.95,0,CHEMBL4843990,Inhibition of recombinant human full-length PARP-1 using biotinylated substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4842357,1,Scientific Literature,J Med Chem,2021,None,,INHIBITOR,,"26.2,,,,,,,,,,,,,,,"
CHEMBL2323543,,None,476.55,0,2.29,20,O=C(CCN1CCc2cccc3c2C1CNC3=O)NCC(=O)N1CC=C(c2ccc(F)cc2)CC1,IC50,'=',1100.0,nM,5.96,,,UO_0000065,12.50,0.23,3.67,7.29,0,CHEMBL2330729,Inhibition of human recombinant PARP1 after 1 hr by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2321760,1,Scientific Literature,J Med Chem,2013,None,,,,"1.1,,,,,,,,,,,,,,,"
CHEMBL45245,,None,195.22,0,2.68,1a,O=c1[nH]c2ccccc2c2ccccc12,IC50,'=',520.0,nM,6.28,,,UO_0000065,32.19,0.57,3.60,19.12,0,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134117,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,,"0.52,,,,,,,,,,,,,,,"
CHEMBL4066329,,None,373.41,0,1.40,7a,CC(C)(C)OC(=O)N1CCC(NC(=O)c2nc3c(C(N)=O)cccc3[nH]2)C1,IC50,'=',1810.0,nM,5.74,,,UO_0000065,15.38,0.29,4.34,4.40,0,CHEMBL4029618,Inhibition of recombinant human PARP1 expressed in Escherichia coli BL21(DE3) using sheared DNA as substrate measured after 1 hr in presence of NAD+,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4028811,1,Scientific Literature,Eur J Med Chem,2017,None,,,,"1810.0,,,,,,,,,,,,,,,"
CHEMBL3644564,,None,375.41,0,3.31,BDBM139633,O=c1[nH]nc2c3c(cccc13)N=C(CN1CC=C(c3ccc(F)cc3)CC1)N2,IC50,'=',6.0,nM,8.22,,274016,UO_0000065,21.90,0.40,4.91,11.20,0,CHEMBL3887103,"Enzyme Assay: A convenient method to determine IC50 of a PARP inhibitor compound is a PARP assay using purified recombinant human PARP from Trevigan (Gaithersburg, Md.), as follows: The PARP enzyme assay is set up on ice in a volume of 100 microliters consisting of 100 mM Tris-HCl (pH 8.0), 1 mM MgCl2, 28 mM KCl, 28 mM NaCl, 3.0 μg/ml of DNase I-activated herring sperm DNA (Sigma, Mo.), 30 micromolar [3H]nicotinamide adenine dinucleotide (62.5 mci/mmole), 15 micrograms/ml PARP enzyme, and various concentrations of the compounds to be tested. The reaction is initiated by adding enzyme and incubating the mixture at 25° C. After 2 minutes of incubation, the reaction is terminated by adding 500 microliters of ice cold 30% (w/v) trichloroacetic acid. The precipitate formed is transferred onto a glass fiber filter (Packard Unifilter-GF/C) and washed three times with 70% ethanol. After the filter is dried, the radioactivity is determined by scintillation counting.",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3931845,,None,424.50,0,1.78,BDBM185813,COc1ccc(C(=O)C2CCN(C3CCN(Cc4ncc(C)c(=O)[nH]4)C3=O)CC2)cc1,IC50,'>',19000.0,nM,,,335237,UO_0000065,,,,,0,CHEMBL3887381,"Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays, the reaction is composed of 5 uL of compound in 8-point serial dilutions with concentrations ranging from 0.0086 to 18.75 uM, 20 nM of purified enzyme, and 250 uM of p-NAD+ in the 1x Assay Buffer. After 60 min incubation at room temperature, the reactions were quenched by the addition of 10 uL of 5x quenching solution (20% formic acid and 500 nM [d]-nicotinamide in water). For the background control wells, 10 uL of the 5x quenching solution per well was added prior to the addition of p-NAD+. The % Inhibition was calculated as: (Control-Sample)/(Control-Background)*100. 'Control' is the average value of 8 wells without compound",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3644779,,None,321.34,0,1.87,BDBM97570,O=c1[nH]nc2c3c(cccc13)Oc1ccc(CN3CC(O)C3)cc1-2,IC50,'=',30.0,nM,7.52,,213290,UO_0000065,23.41,0.43,5.65,9.59,0,CHEMBL3887040,"PARP Enzyme Assay: The PARP enzyme assay is set up on ice in a volume of 100 microliters consisting of 100 mM Tris-HCl (pH 8.0), 1 mM MgCl2, 28 mM KCl, 28 mM NaCl, 0.1 mg/ml of DNase I activated herring sperm DNA (Sigma, Mo.), 3.0 micromolar [3H]nicotinamide adenine dinucleotide (470 mci/mmole), 7 micrograms/ml PARP enzyme, and various concentrations of the compounds to be tested. The reaction is initiated by incubating the mixture at 25° C. After 15 minutes of incubation, the reaction is terminated by adding 500 microliters of ice cold 20% (w/v) trichloroacetic acid. The precipitate formed is transferred onto a glass fiber filter (Packard Unifilter-GF/B) and washed three times with ethanol. After the filter is dried, the radioactivity is determined by scintillation counting.",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3649720,,None,350.42,0,2.29,BDBM130097,O=C(NCCN1CCCCC1)c1ccc2[nH]c(=O)c3cccnc3c2c1,IC50,'=',1050.0,nM,5.98,,261868,UO_0000065,17.06,0.31,3.69,7.66,0,CHEMBL3887071,"Enzyme Inhibitory Assay: The activity of the compounds according to the present invention to inhibit the PARP-1 enzyme was examined using a PARP Assay kit (4671-096-K) purchased from Trevigen. The assay was performed following a modified previously reported method by Lee et al [Methods Find, Exp. Clin. Pharmacol.,27, 617-622, 2005].Histone was coated on 384-well plate, which is a small volume PS plate (784101) of Greiner Bio-One, and left at 25 C. for 2 hours. After that, the plate was rinsed four times with PBS (7.5 mM Na2HPO4, 2.5 mM NaH2PO4, 145 mM NaCl, pH 7.4), and in order to prevent non-specific reaction, the Strep-diluent (provided from kit of Trevigen) was added and left at 25 C. for one hour. After one hour, the plate was again rinsed with PBS four times, and the compounds of the Examples in various concentrations were put into reactant containing PARP-1 enzyme (0.12 unit/well), 2x PARP cocktail.",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1767056,,None,309.28,0,2.69,15c,O=C(Nc1cccc2c(=O)[nH]ccc12)c1ccc([N+](=O)[O-])cc1,IC50,'=',3000.0,nM,5.52,,,UO_0000065,17.86,0.33,2.83,5.25,0,CHEMBL1767525,Inhibition of full length human PARP-1 after 10 mins by FlashPlate scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1765088,1,Scientific Literature,J Med Chem,2011,None,,,,"3.0,,,,,,,,,,,,,,,"
CHEMBL4446682,,None,622.66,2,3.59,4,CC(=O)OC[C@H]1O[C@@H](Sc2nnc(-c3cc4ccccc4[nH]3)n2-c2ccccc2)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OC(C)=O,IC50,'=',2220.0,nM,5.65,,,UO_0000065,9.08,0.18,2.06,3.51,0,CHEMBL4363049,Inhibition of recombinant human full length N-terminal GST- tagged PARP1 expressed in baculovirus infected sf9 cells using Colorimetric HRP as substrate incubated for 30 mins by UV/Vis spectrophotometer analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4359897,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,"2.22,,,,,,,,,,,,,,,"
CHEMBL4524437,,None,310.35,0,2.83,5h,COc1cccc2c(=O)[nH]c(-c3ccc(C(C)(C)O)cc3)nc12,IC50,'=',630.0,nM,6.20,,,UO_0000065,19.98,0.37,3.37,8.24,0,CHEMBL4322256,Inhibition of recombinant human full-length Myc/His-tagged Parp-1 expressed in baculovirus infected Sf21 insect cells assessed as reduction in auto-PARsylation using activated DNA as substrate incubated for 150 mins in presence of NAD and bio-NAD as co-substrate by TR-FRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf21,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL4321794,1,Scientific Literature,J Med Chem,2019,CHEMBL4106362,,,,"630.0,,,,,,,,,,,,,,,"
CHEMBL189500,,None,348.45,0,3.09,14,Oc1nc(CCCN2CCN(c3ccccc3)CC2)nc2ccccc12,IC50,'=',71.0,nM,7.15,,,UO_0000065,20.52,0.38,4.06,13.62,0,CHEMBL833529,In vitro inhibitory concentration against human recombinant Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1137205,1,Scientific Literature,J Med Chem,2004,None,,,,"71.0,,,,,,,,,,,,,,,"
CHEMBL3317917,,None,459.53,0,2.57,18u,O=C(c1csc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCN(C(=O)c2ccccn2)CC1,IC50,'=',46.12,nM,7.34,,,UO_0000065,15.96,0.30,4.77,7.39,0,CHEMBL3371141,Inhibition of human PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3351610,1,Scientific Literature,Bioorg Med Chem Lett,2014,None,,,,"46.12,,,,,,,,,,,,,,,"
CHEMBL3752386,,None,468.94,0,4.67,4,COc1ccc(C2(CNC(=O)c3ccc(NC(=O)c4ccco4)cc3Cl)CCOCC2)cc1,IC50,'>',100000.0,nM,,,,UO_0000065,,,,,0,CHEMBL3757400,Inhibition of human ARTD1 by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3751785,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,,,,"100.0,,,,,,,,,,,,,,,"
CHEMBL3945237,,None,464.53,0,1.36,BDBM185798,COc1ccc(C(=O)C2CCN(C3CCN(Cc4nc5c(cnn5C)c(=O)[nH]4)C3=O)CC2)cc1,IC50,'>',19000.0,nM,,,335230,UO_0000065,,,,,0,CHEMBL3887381,"Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays, the reaction is composed of 5 uL of compound in 8-point serial dilutions with concentrations ranging from 0.0086 to 18.75 uM, 20 nM of purified enzyme, and 250 uM of p-NAD+ in the 1x Assay Buffer. After 60 min incubation at room temperature, the reactions were quenched by the addition of 10 uL of 5x quenching solution (20% formic acid and 500 nM [d]-nicotinamide in water). For the background control wells, 10 uL of the 5x quenching solution per well was added prior to the addition of p-NAD+. The % Inhibition was calculated as: (Control-Sample)/(Control-Background)*100. 'Control' is the average value of 8 wells without compound",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3891789,,None,548.56,1,3.07,BDBM191201,O=C(c1ccc(OC(F)(F)F)cc1)C1CCN(CC(=O)N(Cc2nc3c(c(=O)[nH]2)COCC3)CC2CC2)CC1,IC50,'>',19000.0,nM,,,342060,UO_0000065,,,,,0,CHEMBL3887524,"Biochemical Assay: The autoparsylation activity of the TNKS 1/2 or PARP1/2 enzymes was measured by the liquid chromatography-mass spectrometry (LC/MS) detection of nicotinamide as readout. Compound activity in inhibiting the TNKS and PARP autoparsylation was evaluated by IC50 measurements. In the compound screening assays, the reaction is composed of 5 μL of compound in 8-point serial dilutions with concentrations ranging from 0.0086 to 18.75 μM, 20 nM of purified enzyme, and 250 μM of β-NAD+ in the 1× Assay Buffer. After 60 min incubation at room temperature, the reactions were quenched by the addition of 10 μL of 5× quenching solution (20% formic acid and 500 nM [d]-nicotinamide in water). For the background control wells, 10 μL of the 5× quenching solution per well was added prior to the addition of β-NAD+.",,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3589281,,None,240.31,0,2.42,17a,CN1CCCc2c1cc(-c1ccccc1)[nH]c2=O,IC50,'=',949.0,nM,6.02,,,UO_0000065,25.06,0.46,3.60,16.68,0,CHEMBL3591900,Inhibition of human PARP1,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3588759,1,Scientific Literature,Bioorg Med Chem,2015,None,,,,"949.0,,,,,,,,,,,,,,,"
CHEMBL3593716,,None,248.33,0,0.40,"6, 5AL4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3414765,,None,266.25,0,0.21,"13, ME0375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3414776,,None,234.25,0,1.09,"24, ME0469",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3414756,,None,236.23,0,0.59,"10, ME0379",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3414769,,None,244.25,0,1.00,"17, ME0382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3414773,,None,287.32,0,0.90,"21, ME0480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2407988,,None,464.57,0,2.94,10r,COc1cc(CN2CCN(c3ccc(C(=O)NC4CC4)cc3C)CC2)cc2c1OC(C)C(=O)N2,IC50,'=',147.0,nM,6.83,,,UO_0000065,14.71,0.27,3.89,8.22,0,CHEMBL2412862,Inhibition of human PARP1 catalytic activity after 10 mins by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,"147.0,,,,,,,,,,,,,,,"
CHEMBL2407986,,None,438.53,0,2.40,10p,CNC(=O)c1ccc(N2CCN(Cc3cc4c(c(OC)c3)OC(C)C(=O)N4)CC2)c(C)c1,IC50,'=',36.0,nM,7.44,,,UO_0000065,16.97,0.32,5.04,8.95,0,CHEMBL2412862,Inhibition of human PARP1 catalytic activity after 10 mins by ELISA,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL2407000,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,"36.0,,,,,,,,,,,,,,,"
CHEMBL3105877,,None,267.29,0,2.64,1c,COc1ccc(-c2ccc3ccn(C(N)=O)c3n2)cc1,IC50,'=',3760.0,nM,5.42,,,UO_0000065,20.30,0.37,2.78,7.73,0,CHEMBL3107467,Inhibition of recombinant human GST-fused PARP-1 expressed in Escherichia coli after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3102753,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,"3.76,,,,,,,,,,,,,,,"
CHEMBL3105884,,None,348.41,0,3.26,1j,NC(=O)n1ccc2ccc(-c3ccc(C(=O)N4CCCCC4)cc3)nc21,IC50,'=',2900.0,nM,5.54,,,UO_0000065,15.89,0.29,2.28,6.82,0,CHEMBL3107467,Inhibition of recombinant human GST-fused PARP-1 expressed in Escherichia coli after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3102753,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,"2.9,,,,,,,,,,,,,,,"
CHEMBL3105887,,None,349.44,0,2.38,1m,CN1CCN(Cc2ccc(-c3ccc4ccn(C(N)=O)c4n3)cc2)CC1,IC50,'=',1560.0,nM,5.81,,,UO_0000065,16.62,0.31,3.43,8.62,0,CHEMBL3107467,Inhibition of recombinant human GST-fused PARP-1 expressed in Escherichia coli after 30 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL3102753,1,Scientific Literature,Bioorg Med Chem,2014,None,,,,"1.56,,,,,,,,,,,,,,,"
CHEMBL294995,,None,253.26,0,2.88,5a1,COC(=O)c1ccc2c(c1)nc(O)c1ccccc12,IC50,'=',184.0,nM,6.74,,,UO_0000065,26.59,0.48,3.86,11.33,0,CHEMBL761611,Inhibitory concentration against purified recombinant human Poly (ADP-ribose) polymerase 1,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1134117,1,Scientific Literature,Bioorg Med Chem Lett,2001,None,,,,"0.184,,,,,,,,,,,,,,,"
CHEMBL2377260,,None,381.91,0,4.39,"D38, 6357SO0038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL596390,,None,320.39,0,2.49,10,O=C1NCC2c3c(cccc31)CCN2C(=O)CCc1ccccc1,IC50,'=',4.0,nM,8.40,,,UO_0000065,26.21,0.48,5.91,17.00,0,CHEMBL1074647,Inhibition of human PARP1 by scintillation proximity assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL3105,Poly [ADP-ribose] polymerase-1,Homo sapiens,SINGLE PROTEIN,CHEMBL1153250,1,Scientific Literature,Bioorg Med Chem Lett,2010,None,,,,"4.0,,,,,,,,,,,,,,,"
